Date,Time,Open,High,Low,Close,Volume
2017.08.04,15:00,144.703,145.267,144.584,144.87,30832
2017.08.04,16:00,144.871,144.896,144.552,144.71,27185
2017.08.04,17:00,144.711,144.785,144.533,144.558,30359
2017.08.04,18:00,144.56,144.588,144.33,144.359,21071
2017.08.04,19:00,144.358,144.496,144.342,144.406,16699
2017.08.04,20:00,144.405,144.478,144.279,144.289,15119
2017.08.04,21:00,144.288,144.358,144.218,144.282,13844
2017.08.04,22:00,144.285,144.369,144.241,144.364,13976
2017.08.04,23:00,144.365,144.427,144.27,144.352,7353
2017.08.07,0:00,144.369,144.46,144.274,144.434,1110
2017.08.07,1:00,144.43,144.566,144.379,144.502,9524
2017.08.07,2:00,144.502,144.608,144.485,144.549,9665
2017.08.07,3:00,144.551,144.607,144.461,144.517,13672
2017.08.07,4:00,144.516,144.562,144.429,144.436,16316
2017.08.07,5:00,144.434,144.528,144.394,144.52,12858
2017.08.07,6:00,144.519,144.54,144.46,144.524,14458
2017.08.07,7:00,144.524,144.545,144.487,144.534,9210
2017.08.07,8:00,144.533,144.551,144.472,144.501,9972
2017.08.07,9:00,144.503,144.557,144.423,144.494,15575
2017.08.07,10:00,144.493,144.611,144.375,144.561,19527
2017.08.07,11:00,144.56,144.62,144.466,144.496,16858
2017.08.07,12:00,144.497,144.684,144.491,144.642,16372
2017.08.07,13:00,144.643,144.695,144.577,144.692,15685
2017.08.07,14:00,144.692,144.705,144.532,144.61,14427
2017.08.07,15:00,144.61,144.671,144.28,144.34,17252
2017.08.07,16:00,144.338,144.391,144.265,144.326,18484
2017.08.07,17:00,144.326,144.375,144.192,144.303,18228
2017.08.07,18:00,144.3,144.359,144.172,144.197,12511
2017.08.07,19:00,144.197,144.349,144.194,144.209,7409
2017.08.07,20:00,144.208,144.252,144.175,144.231,8837
2017.08.07,21:00,144.231,144.293,144.216,144.286,5946
2017.08.07,22:00,144.285,144.318,144.223,144.307,9849
2017.08.07,23:00,144.308,144.374,144.256,144.305,6766
2017.08.08,0:00,144.3,144.4,144.244,144.363,4287
2017.08.08,1:00,144.365,144.39,144.32,144.323,3671
2017.08.08,2:00,144.323,144.391,144.311,144.367,3321
2017.08.08,3:00,144.368,144.42,144.303,144.383,4917
2017.08.08,4:00,144.382,144.451,144.301,144.374,18370
2017.08.08,5:00,144.373,144.39,144.284,144.294,12867
2017.08.08,6:00,144.294,144.35,144.294,144.313,11175
2017.08.08,7:00,144.311,144.373,144.251,144.307,13850
2017.08.08,8:00,144.307,144.31,144.185,144.208,11972
2017.08.08,9:00,144.209,144.277,144.144,144.159,12355
2017.08.08,10:00,144.16,144.265,144.094,144.212,14810
2017.08.08,11:00,144.213,144.25,144.104,144.167,12745
2017.08.08,12:00,144.167,144.187,143.996,144.042,11791
2017.08.08,13:00,144.04,144.116,143.808,143.902,12155
2017.08.08,14:00,143.905,143.932,143.573,143.673,15776
2017.08.08,15:00,143.672,143.712,143.513,143.62,16409
2017.08.08,16:00,143.621,143.669,143.423,143.495,17178
2017.08.08,17:00,143.494,143.62,143.284,143.514,25399
2017.08.08,18:00,143.516,143.623,143.494,143.561,19739
2017.08.08,19:00,143.558,143.586,143.35,143.42,16175
2017.08.08,20:00,143.419,143.429,143.171,143.281,15579
2017.08.08,21:00,143.282,143.456,143.282,143.415,12232
2017.08.08,22:00,143.414,143.568,143.3,143.336,14942
2017.08.08,23:00,143.336,143.42,143.274,143.281,14871
