Date,Time,Open,High,Low,Close,Volume
2009.12.21,0:00,1.6116,1.6159,1.6116,1.6159,5892
2009.12.21,4:00,1.6159,1.6161,1.6117,1.613,6251
2009.12.21,8:00,1.6129,1.6156,1.6088,1.6125,11887
2009.12.21,12:00,1.6124,1.6132,1.6075,1.6085,12436
2009.12.21,16:00,1.6085,1.6088,1.6052,1.6059,10584
2009.12.21,20:00,1.6058,1.6059,1.6027,1.6048,5136
2009.12.22,0:00,1.6043,1.6073,1.6035,1.6055,6234
2009.12.22,4:00,1.6055,1.6066,1.6048,1.605,3828
2009.12.22,8:00,1.6049,1.6096,1.5994,1.601,12690
2009.12.22,12:00,1.601,1.6034,1.5975,1.5988,13307
2009.12.22,16:00,1.5989,1.5991,1.592,1.5978,11314
2009.12.22,20:00,1.5977,1.5978,1.5942,1.596,5008
2009.12.23,0:00,1.596,1.5975,1.5948,1.5948,3477
2009.12.23,4:00,1.5947,1.5963,1.5936,1.5946,4862
2009.12.23,8:00,1.5946,1.5973,1.5922,1.5941,11984
2009.12.23,12:00,1.594,1.5971,1.5929,1.5936,12004
2009.12.23,16:00,1.5937,1.599,1.5928,1.5959,11169
2009.12.23,20:00,1.596,1.5965,1.5943,1.5959,4670
2009.12.24,0:00,1.5958,1.599,1.5952,1.599,3353
2009.12.24,4:00,1.5989,1.6001,1.5976,1.5999,2951
2009.12.24,8:00,1.6,1.6019,1.5965,1.5998,7789
2009.12.24,12:00,1.5997,1.6014,1.5941,1.5943,8005
2009.12.24,16:00,1.5943,1.5954,1.5926,1.5945,3989
2009.12.28,0:00,1.5944,1.5962,1.593,1.5961,4760
2009.12.28,4:00,1.5962,1.5967,1.5949,1.5962,3617
2009.12.28,8:00,1.5961,1.599,1.5942,1.597,6201
2009.12.28,12:00,1.597,1.5998,1.5966,1.5973,7566
2009.12.28,16:00,1.5974,1.601,1.5974,1.5998,6396
2009.12.28,20:00,1.5998,1.6008,1.5995,1.5998,4031
2009.12.29,0:00,1.5998,1.5999,1.5992,1.5994,3688
2009.12.29,4:00,1.5994,1.6014,1.5993,1.6007,4511
2009.12.29,8:00,1.6007,1.6064,1.5994,1.5998,11157
2009.12.29,12:00,1.5998,1.602,1.5979,1.6009,11740
